n,k,d,p,num_cycles,trials,logical_errors,P_L,pL_per_cycle
72,12,6,0.002,6,10000,61,0.006100,0.001019
72,12,6,0.0015,6,10000,20,0.002000,0.000334
72,12,6,0.001,6,10000,2,0.000200,0.000033
72,12,6,0.003,6,10000,363,0.036300,0.006144
72,12,6,0.004,6,10000,1217,0.121700,0.021396
72,12,6,0.0045,6,10000,1846,0.184600,0.033441
72,12,6,0.005,6,10000,2773,0.277300,0.052688
72,12,6,0.0055,6,10000,3806,0.380600,0.076730
72,12,6,0.006,6,10000,4849,0.484900,0.104672
72,12,6,0.0065,6,10000,6047,0.604700,0.143315
72,12,6,0.007,6,10000,7098,0.709800,0.186328
72,12,6,0.0075,6,10000,7794,0.779400,0.222678
72,12,6,0.008,6,10000,8497,0.849700,0.270834
72,12,6,0.009,6,10000,9447,0.944700,0.382760
72,12,6,0.01,6,10000,9804,0.980400,0.480751
90,8,10,0.001,10,200000,6,0.000030,0.000003
90,8,10,0.002,10,20000,34,0.001700,0.000170
90,8,10,0.003,10,20000,379,0.018950,0.001911
90,8,10,0.004,10,20000,1824,0.091200,0.009517
90,8,10,0.005,10,20000,5719,0.285950,0.033119
90,8,10,0.0055,10,10000,4271,0.427100,0.054181
90,8,10,0.006,10,10000,5855,0.585500,0.084302
90,8,10,0.0065,10,10000,7197,0.719700,0.119433
90,8,10,0.007,10,10000,8307,0.830700,0.162730
90,8,10,0.0075,10,10000,9088,0.908800,0.212955
90,8,10,0.008,10,10000,9542,0.954200,0.265340
90,8,10,0.009,10,10000,9932,0.993200,0.392913
90,8,10,0.01,10,10000,9993,0.999300,0.516374
108,8,10,0.001,10,200000,6,0.000030,0.000003
108,8,10,0.002,10,20000,17,0.000850,0.000085
108,8,10,0.003,10,50000,529,0.010580,0.001063
108,8,10,0.004,10,50000,3271,0.065420,0.006743
108,8,10,0.005,10,20000,4772,0.238600,0.026891
108,8,10,0.0055,10,10000,3409,0.340900,0.040831
108,8,10,0.006,10,10000,4963,0.496300,0.066279
108,8,10,0.0065,10,10000,6572,0.657200,0.101529
108,8,10,0.007,10,10000,7875,0.787500,0.143483
108,8,10,0.008,10,10000,9486,0.948600,0.256816
108,8,10,0.009,10,10000,9923,0.992300,0.385320
108,8,10,0.01,10,10000,9992,0.999200,0.509873
144,12,12,0.001,12,100000,2,0.000020,0.000002
144,12,12,0.0065,12,50000,37520,0.750400,0.109220
144,12,12,0.0065,12,5000,3534,0.706800,0.097189
144,12,12,0.003,12,5000,16,0.003200,0.000267
144,12,12,0.004,12,5000,208,0.041600,0.003535
144,12,12,0.005,12,5000,964,0.192800,0.017690
144,12,12,0.006,12,5000,2775,0.555000,0.065247
144,12,12,0.007,12,1000,885,0.885000,0.164926
